Join_Count,TARGET_FID,JOIN_FID,ID,STATION_NA,MODE_,STATUS,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,120,1429,,MD 355 and Security Lane,Bus Rapid Transit,Planned,24,031,701202,24031701202,1400000US24031701202,7012.02,Census Tract 7012.02,G5020,S,1789482.000000000000000,0.000000000000000,+39.0386325,-077.1001237
1,121,507,,MD 355 and Professional Drive,Bus Rapid Transit,Planned,24,031,700733,24031700733,1400000US24031700733,7007.33,Census Tract 7007.33,G5020,S,2630254.000000000000000,26251.000000000000000,+39.1602123,-077.2187548
1,122,108,,US 29 and Hillwood Drive,Bus Rapid Transit,Existing,24,031,701506,24031701506,1400000US24031701506,7015.06,Census Tract 7015.06,G5020,S,6061219.000000000000000,5209.000000000000000,+39.0548604,-077.0050149
1,123,164,,US 29 and MD 193,Bus Rapid Transit,Existing,24,031,703100,24031703100,1400000US24031703100,7031,Census Tract 7031,G5020,S,1811567.000000000000000,0.000000000000000,+39.0264084,-077.0220358
1,125,389,,Holy Cross Hospital/Pinkney Life Science Park,Bus Rapid Transit,Planned,24,031,700830,24031700830,1400000US24031700830,7008.30,Census Tract 7008.30,G5020,S,1779808.000000000000000,224.000000000000000,+39.1851226,-077.2448532
1,126,515,,MD 355 and Foreman Boulevard,Bus Rapid Transit,Planned,24,031,700316,24031700316,1400000US24031700316,7003.16,Census Tract 7003.16,G5020,S,4538368.000000000000000,11354.000000000000000,+39.2214431,-077.2720944
1,127,109,,US 29 and Tech Road,Bus Rapid Transit,Existing,24,031,701414,24031701414,1400000US24031701414,7014.14,Census Tract 7014.14,G5020,S,5750561.000000000000000,19555.000000000000000,+39.0726448,-076.9660918
1,128,109,,US 29 and Tech Road,Bus Rapid Transit,Existing,24,031,701414,24031701414,1400000US24031701414,7014.14,Census Tract 7014.14,G5020,S,5750561.000000000000000,19555.000000000000000,+39.0726448,-076.9660918
1,129,109,,US 29 and Fairland Road,Bus Rapid Transit,,24,031,701414,24031701414,1400000US24031701414,7014.14,Census Tract 7014.14,G5020,S,5750561.000000000000000,19555.000000000000000,+39.0726448,-076.9660918
1,130,531,,Burtonsville Park and Ride,Bus Rapid Transit,Existing,24,031,701426,24031701426,1400000US24031701426,7014.26,Census Tract 7014.26,G5020,S,4733807.000000000000000,169513.000000000000000,+39.1131808,-076.9207785
1,131,139,,MD 193 and E Franklin Avenue,Bus Rapid Transit,Planned,24,031,702200,24031702200,1400000US24031702200,7022,Census Tract 7022,G5020,S,1653437.000000000000000,0.000000000000000,+39.0093138,-077.0065074
1,132,164,,MD 193 and Dennis Avenue,Bus Rapid Transit,Planned,24,031,703100,24031703100,1400000US24031703100,7031,Census Tract 7031,G5020,S,1811567.000000000000000,0.000000000000000,+39.0264084,-077.0220358
1,133,164,,MD 193 and Arcola Avenue,Bus Rapid Transit,Planned,24,031,703100,24031703100,1400000US24031703100,7031,Census Tract 7031,G5020,S,1811567.000000000000000,0.000000000000000,+39.0264084,-077.0220358
1,134,561,,MD 193 and Inwood Avenue,Bus Rapid Transit,Planned,24,031,703902,24031703902,1400000US24031703902,7039.02,Census Tract 7039.02,G5020,S,2174197.000000000000000,0.000000000000000,+39.0322535,-077.0397148
1,135,559,,MD 193 and Amherst Avenue,Bus Rapid Transit,Planned,24,031,703800,24031703800,1400000US24031703800,7038,Census Tract 7038,G5020,S,1215086.000000000000000,139.000000000000000,+39.0360600,-077.0547130
1,136,196,,Randolph Road and Bluhill Road,Bus Rapid Transit,Planned,24,031,703403,24031703403,1400000US24031703403,7034.03,Census Tract 7034.03,G5020,S,1214585.000000000000000,0.000000000000000,+39.0616540,-077.0623465
1,137,1428,,Randolph Road and Lauderdale Drive,Bus Rapid Transit,Planned,24,031,701201,24031701201,1400000US24031701201,7012.01,Census Tract 7012.01,G5020,S,2534649.000000000000000,20262.000000000000000,+39.0498578,-077.0957459
1,138,194,,Randolph Road and MD 586,Bus Rapid Transit,Planned,24,031,703401,24031703401,1400000US24031703401,7034.01,Census Tract 7034.01,G5020,S,1780785.000000000000000,0.000000000000000,+39.0616110,-077.0797750
1,139,194,,Randolph Road and MD 185,Bus Rapid Transit,Planned,24,031,703401,24031703401,1400000US24031703401,7034.01,Census Tract 7034.01,G5020,S,1780785.000000000000000,0.000000000000000,+39.0616110,-077.0797750
1,140,1430,,Rockledge Drive and Rock Spring Drive,Bus Rapid Transit,Planned,24,031,701205,24031701205,1400000US24031701205,7012.05,Census Tract 7012.05,G5020,S,6829971.000000000000000,16126.000000000000000,+39.0418495,-077.1354132
1,141,126,,Germantown Bus Transit Center,Bus Rapid Transit,Planned,24,031,700309,24031700309,1400000US24031700309,7003.09,Census Tract 7003.09,G5020,S,2319420.000000000000000,11099.000000000000000,+39.1881087,-077.2703189
1,142,503,,LSC West,Bus Rapid Transit,Planned,24,031,700838,24031700838,1400000US24031700838,7008.38,Census Tract 7008.38,G5020,S,2472394.000000000000000,35116.000000000000000,+39.1034094,-077.2024124
1,143,1430,,Rockspring Drive and Fernwood Road,Bus Rapid Transit,Planned,24,031,701205,24031701205,1400000US24031701205,7012.05,Census Tract 7012.05,G5020,S,6829971.000000000000000,16126.000000000000000,+39.0418495,-077.1354132
0,144,-1,,MD 650 and Eastern Avenue,Bus Rapid Transit,Planned,,,,,,,,,,,,,
0,145,-1,,MD 650 and MD 410,Bus Rapid Transit,Planned,,,,,,,,,,,,,
0,146,-1,,MD 650 and Northampton Drive,Bus Rapid Transit,Planned,,,,,,,,,,,,,
1,147,940,,MD 650 and Oakview Drive,Bus Rapid Transit,Planned,24,031,701601,24031701601,1400000US24031701601,7016.01,Census Tract 7016.01,G5020,S,301675.000000000000000,0.000000000000000,+39.0147267,-076.9763685
