Geography,TRACTCE,name,SquareMile
1400000US24031700828,700828,Gaithersburg,0.499645447537
1400000US24031700829,700829,Gaithersburg,1.53220886712
1400000US24031700829,700829,NIST,1.53220886712
1400000US24031700830,700830,Germantown,0.687270983017
1400000US24031700832,700832,Gaithersburg,0.531005834367
1400000US24031700832,700832,Germantown,0.531005834367
1400000US24031700833,700833,Gaithersburg,0.91251462542
1400000US24031700833,700833,Germantown,0.91251462542
1400000US24031700833,700833,Montgomery Village,0.91251462542
1400000US24031700834,700834,Germantown,0.548517842993
1400000US24031700834,700834,Montgomery Village,0.548517842993
1400000US24031700835,700835,Montgomery Village,2.19415136617
1400000US24031700835,700835,Germantown,2.19415136617
1400000US24031700835,700835,Cedar Grove,2.19415136617
1400000US24031700836,700836,Rockville,0.429485535357
1400000US24031700836,700836,Gaithersburg,0.429485535357
1400000US24031700837,700837,Rockville,0.606223278358
1400000US24031700837,700837,Gaithersburg,0.606223278358
1400000US24031700838,700838,Rockville,0.968151785535
1400000US24031700838,700838,North Potomac,0.968151785535
1400000US24031700838,700838,Gaithersburg,0.968151785535
1400000US24031700839,700839,Rockville,0.649849620018
1400000US24031700839,700839,Gaithersburg,0.649849620018
1400000US24031700901,700901,Rockville,0.654820216764
1400000US24031700902,700902,Derwood,0.663670445899
1400000US24031700902,700902,Rockville,0.663670445899
1400000US24031700903,700903,Aspen Hill,1.48902180398
1400000US24031700903,700903,Rockville,1.48902180398
1400000US24031700903,700903,Derwood,1.48902180398
1400000US24031700904,700904,Rockville,0.437553300493
1400000US24031700904,700904,North Bethesda,0.437553300493
1400000US24031700905,700905,North Bethesda,0.309327303813
1400000US24031700905,700905,Rockville,0.309327303813
1400000US24031701001,701001,North Bethesda,1.97731399531
1400000US24031701001,701001,Rockville,1.97731399531
1400000US24031701002,701002,North Bethesda,1.04748758829
1400000US24031701002,701002,Rockville,1.04748758829
1400000US24031701002,701002,Potomac,1.04748758829
1400000US24031701004,701004,Rockville,1.18784491022
1400000US24031701004,701004,Derwood,1.18784491022
1400000US24031701005,701005,Rockville,0.730637692366
1400000US24031701006,701006,Travilah,1.73254272156
1400000US24031701006,701006,North Potomac,1.73254272156
1400000US24031701006,701006,Rockville,1.73254272156
1400000US24031701007,701007,North Potomac,0.928400363118
1400000US24031701007,701007,Rockville,0.928400363118
1400000US24031701101,701101,Rockville,0.899603528337
1400000US24031701101,701101,Aspen Hill,0.899603528337
1400000US24031701102,701102,Aspen Hill,0.798637291302
1400000US24031701102,701102,Rockville,0.798637291302
1400000US24031701201,701201,Rock Creek,0.986452384912
1400000US24031701201,701201,Garrett Park,0.986452384912
1400000US24031701201,701201,Kensington,0.986452384912
1400000US24031701201,701201,North Bethesda,0.986452384912
1400000US24031701202,701202,North Bethesda,0.690919108727
1400000US24031701202,701202,Garrett Park,0.690919108727
1400000US24031701205,701205,North Bethesda,2.6432850174900002
1400000US24031701205,701205,Potomac,2.6432850174900002
1400000US24031701205,701205,Rockville,2.6432850174900002
