Join_Count,TARGET_FID,JOIN_FID,STATEFP,COUNTYFP,TRACTCE,GEOID,Geography,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,shape_id,route_id,agency_id,route_short_name,route_long,route_desc,route_type,route_url,route_colo,route_text,route_ty_1,Shape_Length,Shape_Area,wkday_departures,sat_departures,sun_departures
1,1445,134,24,031,701313,24031701313,1400000US24031701313,7013.13,Census Tract 7013.13,G5020,S,2637570,1882,39.1351468,-77.0777344,0.216423287676774,37172,8882,MCRO,52,52-Olney-MedStar Mont.Med-Rockv.,Rte 52 operates Monday-Friday,3,NA,8080C0,FFFFFF,Bus,0.078520199671318,2.74983935113e-4,18,NA,NA
1,1445,143,24,031,701313,24031701313,1400000US24031701313,7013.13,Census Tract 7013.13,G5020,S,2637570,1882,39.1351468,-77.0777344,0.380487762778951,37182,8883,MCRO,53,53-Shady Grove-Glenmont,Rte 53 operates Monday-Friday,3,NA,FFFF80,FFFFFF,Bus,0.078520199671318,2.74983935113e-4,26,NA,NA
1,1446,96,24,031,701409,24031701409,1400000US24031701409,7014.09,Census Tract 7014.09,G5020,S,6668709,8219,39.1003467,-76.9522476,0.167338741461476,37134,8868,MCRO,39,39-Glenmont-Briggs Chaney P&R,Rte 39 operates Monday-Friday,3,NA,800000,FFFFFF,Bus,0.121622831708929,6.9525379026e-4,30,NA,NA
1,1446,256,24,031,701409,24031701409,1400000US24031701409,7014.09,Census Tract 7014.09,G5020,S,6668709,8219,39.1003467,-76.9522476,0.173347015346529,37313,8917,MCRO,FLASH,FLASH-Silver Spring-Burtonsville,Rte 501 operates Monday-Sunday,3,NA,008000,FFFFFF,Bus,0.121622831708929,6.9525379026e-4,191,152,152
1,1447,60,24,031,704700,24031704700,1400000US24031704700,7047,Census Tract 7047,G5020,S,2029230,0,38.9850986,-77.1073449,0.141686576228623,37083,8855,MCRO,29,29-Bethesda-GlenEcho-FriendshpHghts,Rte 29 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.062602101006617,2.10963893602e-4,51,46,42
1,1447,62,24,031,704700,24031704700,1400000US24031704700,7047,Census Tract 7047,G5020,S,2029230,0,38.9850986,-77.1073449,0.111808722839081,37099,8859,MCRO,30,30-Bethesda-Medical Center,Rte 30 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.062602101006617,2.10963893602e-4,48,NA,NA
1,1447,71,24,031,704700,24031704700,1400000US24031704700,7047,Census Tract 7047,G5020,S,2029230,0,38.9850986,-77.1073449,0.109391491654321,37108,8862,MCRO,32,32-Bethesda-Naval Ship R&D Center,Rte 32 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.062602101006617,2.10963893602e-4,24,NA,NA
1,1447,79,24,031,704700,24031704700,1400000US24031704700,7047,Census Tract 7047,G5020,S,2029230,0,38.9850986,-77.1073449,0.103956085721935,37116,8864,MCRO,34,34-Bethesda-Wheaton,Rte 34 operates Monday-Sunday,3,NA,0000FF,FFFFFF,Bus,0.062602101006617,2.10963893602e-4,76,58,58
1,1447,81,24,031,704700,24031704700,1400000US24031704700,7047,Census Tract 7047,G5020,S,2029230,0,38.9850986,-77.1073449,0.24070531915156,37118,8865,MCRO,36,36-Bethesda-Potomac-via Hillandale,Rte 36 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.062602101006617,2.10963893602e-4,21,NA,NA
1,1447,122,24,031,704700,24031704700,1400000US24031704700,7047,Census Tract 7047,G5020,S,2029230,0,38.9850986,-77.1073449,0.208082754000072,37160,8877,MCRO,47,47-Rockville-Mont. Mall-Bethesda,Rte 47 operates Monday-Sunday,3,NA,008080,FFFFFF,Bus,0.062602101006617,2.10963893602e-4,68,50,50
1,1447,192,24,031,704700,24031704700,1400000US24031704700,7047,Census Tract 7047,G5020,S,2029230,0,38.9850986,-77.1073449,0.333545643065808,37235,8899,MCRO,70,70-Germantown-Bethesda EXPRESS,Rte 70 operates Monday-Friday,3,NA,800080,FFFFFF,Bus,0.062602101006617,2.10963893602e-4,44,NA,NA
1,1448,11,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192,11079,38.9984654,-77.0906078,0.231419022385831,37013,8822,MCRO,101,101-Lakeforest-Medical Ctr,Rte 101 operates Monday-Friday,3,NA,00FFFF,FFFFFF,Bus,0.105530670267245,4.75116531906e-4,90,NA,NA
1,1448,62,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192,11079,38.9984654,-77.0906078,0.111808722839081,37099,8859,MCRO,30,30-Bethesda-Medical Center,Rte 30 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.105530670267245,4.75116531906e-4,48,NA,NA
